CIP_Year|CIP_Code|CIP_Title|SOC_Year|SOC_Code|SOC_Title|Education_Requirement|Star_Rating
2020|010299|Agricultural Mechanization, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010299|Agricultural Mechanization, Other.|2018|49-3041|Farm Equipment Mechanics and Service Technicians|NULL|NULL
2020|010301|Agricultural Production Operations, General.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010301|Agricultural Production Operations, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010301|Agricultural Production Operations, General.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010302|Animal/Livestock Husbandry and Production.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010302|Animal/Livestock Husbandry and Production.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010302|Animal/Livestock Husbandry and Production.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010302|Animal/Livestock Husbandry and Production.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010302|Animal/Livestock Husbandry and Production.|2018|45-2021|Animal Breeders|NULL|NULL
2020|010303|Aquaculture.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010303|Aquaculture.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010303|Aquaculture.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010304|Crop Production.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010304|Crop Production.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010304|Crop Production.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010304|Crop Production.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010306|Dairy Husbandry and Production.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010306|Dairy Husbandry and Production.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010306|Dairy Husbandry and Production.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010307|Horse Husbandry/Equine Science and Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010307|Horse Husbandry/Equine Science and Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010307|Horse Husbandry/Equine Science and Management.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010307|Horse Husbandry/Equine Science and Management.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010307|Horse Husbandry/Equine Science and Management.|2018|45-2021|Animal Breeders|NULL|NULL
2020|010308|Agroecology and Sustainable Agriculture.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010308|Agroecology and Sustainable Agriculture.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|010308|Agroecology and Sustainable Agriculture.|2018|19-1031|Conservation Scientists|NULL|NULL
2020|010308|Agroecology and Sustainable Agriculture.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010308|Agroecology and Sustainable Agriculture.|2018|25-1043|Forestry and Conservation Science Teachers, Postsecondary|NULL|NULL
2020|010308|Agroecology and Sustainable Agriculture.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010310|Apiculture.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010310|Apiculture.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010310|Apiculture.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010310|Apiculture.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010310|Apiculture.|2018|45-2021|Animal Breeders|NULL|NULL
2020|010310|Apiculture.|2018|45-2093|Farmworkers, Farm, Ranch, and Aquacultural Animals|NULL|NULL
2020|010399|Agricultural Production Operations, Other.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010399|Agricultural Production Operations, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010399|Agricultural Production Operations, Other.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010401|Agricultural and Food Products Processing.|2018|19-4013|Food Science Technicians|NULL|NULL
2020|010401|Agricultural and Food Products Processing.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010401|Agricultural and Food Products Processing.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010401|Agricultural and Food Products Processing.|2018|45-2011|Agricultural Inspectors|NULL|NULL
2020|010504|Dog/Pet/Animal Grooming.|2018|25-1194|Career/Technical Education Teachers, Postsecondary|Bachelors degree|4
2020|010504|Dog/Pet/Animal Grooming.|2018|39-2021|Animal Caretakers|NULL|NULL
2020|010505|Animal Training.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010505|Animal Training.|2018|39-2011|Animal Trainers|NULL|NULL
2020|010507|Equestrian/Equine Studies.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010507|Equestrian/Equine Studies.|2018|39-2011|Animal Trainers|NULL|NULL
2020|010508|Taxidermy/Taxidermist.|2018|99-9999|NO MATCH|NULL|NULL
2020|010509|Farrier Science.|2018|25-1194|Career/Technical Education Teachers, Postsecondary|Bachelors degree|4
2020|010509|Farrier Science.|2018|39-2021|Animal Caretakers|NULL|NULL
2020|010599|Agricultural and Domestic Animal Services, Other.|2018|99-9999|NO MATCH|NULL|NULL
2020|010601|Applied Horticulture/Horticulture Operations, General.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010601|Applied Horticulture/Horticulture Operations, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010601|Applied Horticulture/Horticulture Operations, General.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010601|Applied Horticulture/Horticulture Operations, General.|2018|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|High school diploma or equivalent|4
2020|010601|Applied Horticulture/Horticulture Operations, General.|2018|37-3011|Landscaping and Groundskeeping Workers|NULL|NULL
2020|010603|Ornamental Horticulture.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010603|Ornamental Horticulture.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010603|Ornamental Horticulture.|2018|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|High school diploma or equivalent|4
2020|010603|Ornamental Horticulture.|2018|37-3011|Landscaping and Groundskeeping Workers|NULL|NULL
2020|010604|Greenhouse Operations and Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010604|Greenhouse Operations and Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010604|Greenhouse Operations and Management.|2018|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|High school diploma or equivalent|4
2020|010604|Greenhouse Operations and Management.|2018|37-3011|Landscaping and Groundskeeping Workers|NULL|NULL
2020|010604|Greenhouse Operations and Management.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010605|Landscaping and Groundskeeping.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010605|Landscaping and Groundskeeping.|2018|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|High school diploma or equivalent|4
2020|010605|Landscaping and Groundskeeping.|2018|37-3011|Landscaping and Groundskeeping Workers|NULL|NULL
2020|010605|Landscaping and Groundskeeping.|2018|37-3012|Pesticide Handlers, Sprayers, and Applicators, Vegetation|NULL|NULL
2020|010606|Plant Nursery Operations and Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010606|Plant Nursery Operations and Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010606|Plant Nursery Operations and Management.|2018|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|High school diploma or equivalent|4
2020|010606|Plant Nursery Operations and Management.|2018|37-3011|Landscaping and Groundskeeping Workers|NULL|NULL
2020|010606|Plant Nursery Operations and Management.|2018|37-3012|Pesticide Handlers, Sprayers, and Applicators, Vegetation|NULL|NULL
2020|010606|Plant Nursery Operations and Management.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010606|Plant Nursery Operations and Management.|2018|45-4011|Forest and Conservation Workers|NULL|NULL
2020|010607|Turf and Turfgrass Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010607|Turf and Turfgrass Management.|2018|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|High school diploma or equivalent|4
2020|010607|Turf and Turfgrass Management.|2018|37-3011|Landscaping and Groundskeeping Workers|NULL|NULL
2020|010607|Turf and Turfgrass Management.|2018|37-3012|Pesticide Handlers, Sprayers, and Applicators, Vegetation|NULL|NULL
2020|010608|Floriculture/Floristry Operations and Management.|2018|41-1011|First-Line Supervisors of Retail Sales Workers|NULL|NULL
2020|010609|Public Horticulture.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010609|Public Horticulture.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010610|Urban and Community Horticulture.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010610|Urban and Community Horticulture.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010699|Applied Horticulture/Horticultural Business Services, Other.|2018|99-9999|NO MATCH|NULL|NULL
2020|010701|International Agriculture.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|010701|International Agriculture.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010801|Agricultural and Extension Education Services.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010802|Agricultural Communication/Journalism.|2018|27-3023|News Analysts, Reporters, and Journalists|NULL|NULL
2020|010802|Agricultural Communication/Journalism.|2018|27-4011|Audio and Video Technicians|NULL|NULL
2020|010899|Agricultural Public Services, Other.|2018|99-9999|NO MATCH|NULL|NULL
2020|010901|Animal Sciences, General.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010901|Animal Sciences, General.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010901|Animal Sciences, General.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|010901|Animal Sciences, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010901|Animal Sciences, General.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010901|Animal Sciences, General.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010902|Agricultural Animal Breeding.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010902|Agricultural Animal Breeding.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010902|Agricultural Animal Breeding.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010902|Agricultural Animal Breeding.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010903|Animal Health.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010903|Animal Health.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010903|Animal Health.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010904|Animal Nutrition.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010904|Animal Nutrition.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010904|Animal Nutrition.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010904|Animal Nutrition.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010905|Dairy Science.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010905|Dairy Science.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010905|Dairy Science.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|010905|Dairy Science.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010905|Dairy Science.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010905|Dairy Science.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010906|Livestock Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010906|Livestock Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010906|Livestock Management.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010906|Livestock Management.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010907|Poultry Science.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010907|Poultry Science.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010907|Poultry Science.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|010907|Poultry Science.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010907|Poultry Science.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010907|Poultry Science.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010999|Animal Sciences, Other.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010999|Animal Sciences, Other.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010999|Animal Sciences, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010999|Animal Sciences, Other.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010999|Animal Sciences, Other.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|011001|Food Science.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|011001|Food Science.|2018|19-4013|Food Science Technicians|NULL|NULL
2020|011001|Food Science.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011002|Food Technology and Processing.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|011002|Food Technology and Processing.|2018|19-4013|Food Science Technicians|NULL|NULL
2020|011003|Brewing Science.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|011003|Brewing Science.|2018|19-4013|Food Science Technicians|NULL|NULL
2020|011003|Brewing Science.|2018|51-3092|Food Batchmakers|NULL|NULL
2020|011003|Brewing Science.|2018|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|High school diploma or equivalent|4
2020|011004|Viticulture and Enology.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|011004|Viticulture and Enology.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|011004|Viticulture and Enology.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011004|Viticulture and Enology.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011004|Viticulture and Enology.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|011004|Viticulture and Enology.|2018|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|High school diploma or equivalent|4
2020|011005|Zymology/Fermentation Science.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|011005|Zymology/Fermentation Science.|2018|19-4013|Food Science Technicians|NULL|NULL
2020|011005|Zymology/Fermentation Science.|2018|51-3092|Food Batchmakers|NULL|NULL
2020|011005|Zymology/Fermentation Science.|2018|51-9012|Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|High school diploma or equivalent|4
2020|011099|Food Science and Technology, Other.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|011099|Food Science and Technology, Other.|2018|19-4013|Food Science Technicians|NULL|NULL
2020|011099|Food Science and Technology, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011101|Plant Sciences, General.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|011101|Plant Sciences, General.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011101|Plant Sciences, General.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|011101|Plant Sciences, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011101|Plant Sciences, General.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|011101|Plant Sciences, General.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|011102|Agronomy and Crop Science.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|011102|Agronomy and Crop Science.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011102|Agronomy and Crop Science.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|011102|Agronomy and Crop Science.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011102|Agronomy and Crop Science.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|011102|Agronomy and Crop Science.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|011103|Horticultural Science.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|011103|Horticultural Science.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011103|Horticultural Science.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011103|Horticultural Science.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|011104|Agricultural and Horticultural Plant Breeding.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011104|Agricultural and Horticultural Plant Breeding.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011105|Plant Protection and Integrated Pest Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|011105|Plant Protection and Integrated Pest Management.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011105|Plant Protection and Integrated Pest Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011105|Plant Protection and Integrated Pest Management.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|011106|Range Science and Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|011106|Range Science and Management.|2018|19-1011|Animal Scientists|NULL|NULL
2020|011106|Range Science and Management.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011106|Range Science and Management.|2018|19-1031|Conservation Scientists|NULL|NULL
2020|011106|Range Science and Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011106|Range Science and Management.|2018|25-1043|Forestry and Conservation Science Teachers, Postsecondary|NULL|NULL
2020|011106|Range Science and Management.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|011199|Plant Sciences, Other.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011199|Plant Sciences, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011201|Soil Science and Agronomy, General.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011201|Soil Science and Agronomy, General.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|011201|Soil Science and Agronomy, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011202|Soil Chemistry and Physics.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011202|Soil Chemistry and Physics.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011203|Soil Microbiology.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011203|Soil Microbiology.|2018|19-1022|Microbiologists|NULL|NULL
2020|011203|Soil Microbiology.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011299|Soil Sciences, Other.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|011299|Soil Sciences, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|011302|Pre-Veterinary Studies.|2018|99-9999|NO MATCH|NULL|NULL
2020|011399|Agriculture/Veterinary Preparatory Programs, Other.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|018001|Veterinary Medicine.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018001|Veterinary Medicine.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018101|Veterinary Sciences/Veterinary Clinical Sciences, General.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018101|Veterinary Sciences/Veterinary Clinical Sciences, General.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018102|Comparative and Laboratory Animal Medicine.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018102|Comparative and Laboratory Animal Medicine.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018103|Large Animal/Food Animal and Equine Surgery and Medicine.|2018|19-1011|Animal Scientists|NULL|NULL
2020|018103|Large Animal/Food Animal and Equine Surgery and Medicine.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018103|Large Animal/Food Animal and Equine Surgery and Medicine.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018104|Small/Companion Animal Surgery and Medicine.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018104|Small/Companion Animal Surgery and Medicine.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018105|Veterinary Anatomy.|2018|19-1011|Animal Scientists|NULL|NULL
2020|018105|Veterinary Anatomy.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018105|Veterinary Anatomy.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018106|Veterinary Infectious Diseases.|2018|19-1011|Animal Scientists|NULL|NULL
2020|018106|Veterinary Infectious Diseases.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018106|Veterinary Infectious Diseases.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018107|Veterinary Microbiology and Immunobiology.|2018|19-1011|Animal Scientists|NULL|NULL
2020|018107|Veterinary Microbiology and Immunobiology.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018107|Veterinary Microbiology and Immunobiology.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018108|Veterinary Pathology and Pathobiology.|2018|19-1011|Animal Scientists|NULL|NULL
2020|018108|Veterinary Pathology and Pathobiology.|2018|25-1071|Health Specialties Teachers, Postsecondary|Doctoral or professional degree|5
2020|018108|Veterinary Pathology and Pathobiology.|2018|29-1131|Veterinarians|Doctoral or professional degree|5
2020|018109|Veterinary Physiology.|2018|19-1011|Animal Scientists|NULL|NULL
