R_Use_Code|R_Use_Name|Created_Date|Modified_Date|Inactive
770|Hazardous Waste Storage|2012-03-30 00:00:00.000|NULL|N
775|Hazardous Waste Storage Service|2012-03-30 00:00:00.000|NULL|N
780|Unit Storage|2012-03-30 00:00:00.000|NULL|N
800|Health Care Facilities|2003-11-10 00:00:00.000|NULL|N
810|Patient Bedroom|2003-11-10 00:00:00.000|NULL|N
815|Patient Bedroom Service|2003-11-10 00:00:00.000|NULL|N
820|Patient Bath|2003-11-10 00:00:00.000|NULL|N
830|Nurse Station|2003-11-10 00:00:00.000|NULL|N
835|Nurse Station Service|2003-11-10 00:00:00.000|NULL|N
840|Surgery|2003-11-10 00:00:00.000|NULL|N
845|Surgery Service|2003-11-10 00:00:00.000|NULL|N
850|Treatment/Examination Clinic|2012-03-30 00:00:00.000|NULL|N
855|Treatment/Examination Clinic Service|2012-03-30 00:00:00.000|NULL|N
860|Diagnostic Service Laboratory|2003-11-10 00:00:00.000|NULL|N
865|Diagnostic Service Laboratory Support|2003-11-10 00:00:00.000|NULL|N
870|Central Supplies|2012-03-30 00:00:00.000|NULL|N
880|Public Waiting|2003-11-10 00:00:00.000|NULL|N
890|Staff On-Call Facility|2003-11-10 00:00:00.000|NULL|N
895|Staff On-Call Facility Service|2003-11-10 00:00:00.000|NULL|N
900|Residential Facilities|2003-11-10 00:00:00.000|NULL|N
910|Sleep/Study Without Toilet or Bath|2003-11-10 00:00:00.000|NULL|N
919|Toilet or Bath|2003-11-10 00:00:00.000|NULL|N
920|Sleep/Study with Toilet or Bath|2003-11-10 00:00:00.000|NULL|N
935|Sleep/Study Service|2003-11-10 00:00:00.000|NULL|N
950|Apartment|2003-11-10 00:00:00.000|NULL|N
955|Apartment Service|2003-11-10 00:00:00.000|NULL|N
970|House|2003-11-10 00:00:00.000|NULL|N
NON|Non Assignable Area|2003-11-10 00:00:00.000|NULL|N
W01|Bridge/Tunnel|2012-03-30 00:00:00.000|NULL|N
W02|Elevator|2012-03-30 00:00:00.000|NULL|N
W03|Escalator|2012-03-30 00:00:00.000|NULL|N
W04|Loading Dock|2012-03-30 00:00:00.000|NULL|N
W05|Lobby|2012-03-30 00:00:00.000|NULL|N
W06|Public Corridor|2012-03-30 00:00:00.000|NULL|N
W07|Stairway|2012-03-30 00:00:00.000|NULL|N
WWW|Circulation Area|2003-11-10 00:00:00.000|NULL|N
X01|Custodial Supply Closet|2012-03-30 00:00:00.000|2020-12-08 16:09:08.647|N
X02|Janitor Room|2012-03-30 00:00:00.000|2020-12-08 16:09:14.587|N
X03|Public Restroom|2012-03-30 00:00:00.000|2020-12-08 16:09:19.973|N
X04|Trash Room|2012-03-30 00:00:00.000|NULL|N
X05|Lactation Room|2020-12-10 15:36:33.373|NULL|N
XXX|Building Service Area|2012-03-30 00:00:00.000|NULL|N
Y01|Central Utility Plant|2012-03-30 00:00:00.000|NULL|N
Y02|Fuel Room|2012-03-30 00:00:00.000|NULL|N
Y03|Shaft|2012-03-30 00:00:00.000|NULL|N
Y04|Utility/Mechanical Space|2012-03-30 00:00:00.000|NULL|N
YYY|Mechanical Area|2012-03-30 00:00:00.000|NULL|N
ZZZ|Structural Area|2012-03-30 00:00:00.000|NULL|N
