SOC_Code|SOC_Title|Star_Rating|Education_Value|Area
13-1051|Cost Estimators|5|Bachelors degree|Ogden-Clearfield
13-1051|Cost Estimators|5|Bachelors degree|Washington County
13-1051|Cost Estimators|5|Bachelors degree|Salt Lake
13-1071|Human Resources Specialists|4|Bachelors degree|Central-Southwest
13-1071|Human Resources Specialists|4|Bachelors degree|State of Utah
13-1071|Human Resources Specialists|4|Bachelors degree|Cache County
13-1071|Human Resources Specialists|5|Bachelors degree|Provo-Orem
13-1071|Human Resources Specialists|5|Bachelors degree|Ogden-Clearfield
13-1071|Human Resources Specialists|5|Bachelors degree|Washington County
13-1071|Human Resources Specialists|5|Bachelors degree|Eastern
13-1071|Human Resources Specialists|5|Bachelors degree|Salt Lake
13-1081|Logisticians|4|Bachelors degree|Provo-Orem
13-1081|Logisticians|5|Bachelors degree|Salt Lake
13-1081|Logisticians|5|Bachelors degree|Ogden-Clearfield
13-1081|Logisticians|5|Bachelors degree|State of Utah
13-1111|Management Analysts|4|Bachelors degree|Eastern
13-1111|Management Analysts|5|Bachelors degree|Washington County
13-1111|Management Analysts|5|Bachelors degree|Salt Lake
13-1111|Management Analysts|5|Bachelors degree|State of Utah
13-1111|Management Analysts|5|Bachelors degree|Ogden-Clearfield
13-1111|Management Analysts|5|Bachelors degree|Provo-Orem
13-1121|Meeting, Convention, and Event Planners|4|Bachelors degree|Provo-Orem
13-1121|Meeting, Convention, and Event Planners|4|Bachelors degree|State of Utah
13-1121|Meeting, Convention, and Event Planners|4|Bachelors degree|Salt Lake
13-1121|Meeting, Convention, and Event Planners|4|Bachelors degree|Eastern
13-1131|Fundraisers|4|Bachelors degree|Salt Lake
13-1141|Compensation, Benefits, and Job Analysis Specialists|4|Bachelors degree|Salt Lake
13-1141|Compensation, Benefits, and Job Analysis Specialists|4|Bachelors degree|State of Utah
13-1151|Training and Development Specialists|4|Bachelors degree|State of Utah
13-1151|Training and Development Specialists|4|Bachelors degree|Ogden-Clearfield
13-1151|Training and Development Specialists|5|Bachelors degree|Salt Lake
13-1151|Training and Development Specialists|5|Bachelors degree|Provo-Orem
13-1161|Market Research Analysts and Marketing Specialists|4|Bachelors degree|Provo-Orem
13-1161|Market Research Analysts and Marketing Specialists|4|Bachelors degree|Washington County
13-1161|Market Research Analysts and Marketing Specialists|4|Bachelors degree|Central-Southwest
13-1161|Market Research Analysts and Marketing Specialists|4|Bachelors degree|State of Utah
13-1161|Market Research Analysts and Marketing Specialists|5|Bachelors degree|Ogden-Clearfield
13-1161|Market Research Analysts and Marketing Specialists|5|Bachelors degree|Eastern
13-1161|Market Research Analysts and Marketing Specialists|5|Bachelors degree|Salt Lake
13-2011|Accountants and Auditors|5|Bachelors degree|Salt Lake
13-2011|Accountants and Auditors|5|Bachelors degree|Eastern
13-2011|Accountants and Auditors|5|Bachelors degree|Central-Southwest
13-2011|Accountants and Auditors|5|Bachelors degree|Washington County
13-2011|Accountants and Auditors|5|Bachelors degree|Ogden-Clearfield
13-2011|Accountants and Auditors|5|Bachelors degree|State of Utah
13-2011|Accountants and Auditors|5|Bachelors degree|Provo-Orem
13-2011|Accountants and Auditors|5|Bachelors degree|Cache County
13-2021|Appraisers and Assessors of Real Estate|4|Bachelors degree|State of Utah
13-2021|Appraisers and Assessors of Real Estate|4|Bachelors degree|Washington County
13-2021|Appraisers and Assessors of Real Estate|4|Bachelors degree|Salt Lake
13-2041|Credit Analysts|4|Bachelors degree|Salt Lake
13-2041|Credit Analysts|4|Bachelors degree|State of Utah
13-2041|Credit Analysts|4|Bachelors degree|Ogden-Clearfield
13-2051|Financial Analysts|4|Bachelors degree|Ogden-Clearfield
13-2051|Financial Analysts|5|Bachelors degree|State of Utah
13-2051|Financial Analysts|5|Bachelors degree|Salt Lake
13-2051|Financial Analysts|5|Bachelors degree|Provo-Orem
13-2052|Personal Financial Advisors|4|Bachelors degree|Provo-Orem
13-2052|Personal Financial Advisors|5|Bachelors degree|Salt Lake
13-2052|Personal Financial Advisors|5|Bachelors degree|State of Utah
13-2053|Insurance Underwriters|4|Bachelors degree|State of Utah
13-2061|Financial Examiners|4|Bachelors degree|State of Utah
13-2061|Financial Examiners|4|Bachelors degree|Salt Lake
13-2071|Credit Counselors|4|Bachelors degree|State of Utah
13-2071|Credit Counselors|4|Bachelors degree|Ogden-Clearfield
13-2072|Loan Officers|4|Bachelors degree|Ogden-Clearfield
13-2072|Loan Officers|4|Bachelors degree|State of Utah
13-2072|Loan Officers|4|Bachelors degree|Central-Southwest
13-2072|Loan Officers|4|Bachelors degree|Eastern
13-2072|Loan Officers|4|Bachelors degree|Provo-Orem
13-2072|Loan Officers|4|Bachelors degree|Cache County
13-2072|Loan Officers|5|Bachelors degree|Washington County
13-2081|Tax Examiners and Collectors, and Revenue Agents|4|Bachelors degree|State of Utah
13-2081|Tax Examiners and Collectors, and Revenue Agents|4|Bachelors degree|Ogden-Clearfield
13-2082|Tax Preparers|4|High school diploma or equivalent|Salt Lake
15-1111|Computer and Information Research Scientists|4|Masters degree|State of Utah
15-1111|Computer and Information Research Scientists|5|Masters degree|Provo-Orem
15-1121|Computer Systems Analysts|4|Bachelors degree|Ogden-Clearfield
15-1121|Computer Systems Analysts|5|Bachelors degree|State of Utah
15-1121|Computer Systems Analysts|5|Bachelors degree|Salt Lake
15-1121|Computer Systems Analysts|5|Bachelors degree|Provo-Orem
15-1122|Information Security Analysts|4|Bachelors degree|Provo-Orem
15-1122|Information Security Analysts|4|Bachelors degree|State of Utah
15-1122|Information Security Analysts|4|Bachelors degree|Ogden-Clearfield
15-1131|Computer Programmers|4|Bachelors degree|Ogden-Clearfield
15-1131|Computer Programmers|5|Bachelors degree|State of Utah
15-1131|Computer Programmers|5|Bachelors degree|Salt Lake
15-1131|Computer Programmers|5|Bachelors degree|Provo-Orem
15-1132|Software Developers, Applications|4|Bachelors degree|Eastern
15-1132|Software Developers, Applications|5|Bachelors degree|Washington County
15-1132|Software Developers, Applications|5|Bachelors degree|Salt Lake
15-1132|Software Developers, Applications|5|Bachelors degree|State of Utah
15-1132|Software Developers, Applications|5|Bachelors degree|Ogden-Clearfield
15-1132|Software Developers, Applications|5|Bachelors degree|Provo-Orem
15-1132|Software Developers, Applications|5|Bachelors degree|Cache County
15-1133|Software Developers, Systems Software|5|Bachelors degree|Cache County
15-1133|Software Developers, Systems Software|5|Bachelors degree|Provo-Orem
15-1133|Software Developers, Systems Software|5|Bachelors degree|Ogden-Clearfield
15-1133|Software Developers, Systems Software|5|Bachelors degree|State of Utah
15-1133|Software Developers, Systems Software|5|Bachelors degree|Salt Lake
15-1134|Web Developers|4|Associates degree|Cache County
15-1134|Web Developers|5|Associates degree|Provo-Orem
15-1134|Web Developers|5|Associates degree|Salt Lake
15-1134|Web Developers|5|Associates degree|Washington County
15-1134|Web Developers|5|Associates degree|State of Utah
15-1141|Database Administrators|4|Bachelors degree|State of Utah
15-1141|Database Administrators|4|Bachelors degree|Ogden-Clearfield
15-1141|Database Administrators|4|Bachelors degree|Salt Lake
15-1141|Database Administrators|4|Bachelors degree|Provo-Orem
15-1142|Network and Computer Systems Administrators|4|Bachelors degree|Provo-Orem
15-1142|Network and Computer Systems Administrators|4|Bachelors degree|Ogden-Clearfield
15-1142|Network and Computer Systems Administrators|5|Bachelors degree|State of Utah
15-1142|Network and Computer Systems Administrators|5|Bachelors degree|Salt Lake
15-1143|Computer Network Architects|4|Bachelors degree|Salt Lake
15-1143|Computer Network Architects|4|Bachelors degree|State of Utah
15-1143|Computer Network Architects|4|Bachelors degree|Ogden-Clearfield
15-1151|Computer User Support Specialists|4|Some college, no degree|Ogden-Clearfield
15-1151|Computer User Support Specialists|4|Some college, no degree|State of Utah
15-1151|Computer User Support Specialists|4|Some college, no degree|Salt Lake
15-1151|Computer User Support Specialists|4|Some college, no degree|Washington County
15-1151|Computer User Support Specialists|4|Some college, no degree|Central-Southwest
15-1151|Computer User Support Specialists|4|Some college, no degree|Eastern
15-1151|Computer User Support Specialists|4|Some college, no degree|Provo-Orem
15-1152|Computer Network Support Specialists|4|Associates degree|Salt Lake
15-1152|Computer Network Support Specialists|4|Associates degree|State of Utah
15-2031|Operations Research Analysts|4|Bachelors degree|Ogden-Clearfield
15-2031|Operations Research Analysts|4|Bachelors degree|Provo-Orem
15-2031|Operations Research Analysts|5|Bachelors degree|State of Utah
15-2031|Operations Research Analysts|5|Bachelors degree|Salt Lake
15-2041|Statisticians|5|Masters degree|Salt Lake
15-2041|Statisticians|5|Masters degree|State of Utah
17-1011|Architects, Except Landscape and Naval|4|Bachelors degree|Ogden-Clearfield
17-1011|Architects, Except Landscape and Naval|5|Bachelors degree|State of Utah
17-1011|Architects, Except Landscape and Naval|5|Bachelors degree|Salt Lake
17-1022|Surveyors|4|Bachelors degree|Eastern
17-1022|Surveyors|4|Bachelors degree|State of Utah
17-2011|Aerospace Engineers|4|Bachelors degree|State of Utah
17-2011|Aerospace Engineers|4|Bachelors degree|Salt Lake
17-2011|Aerospace Engineers|5|Bachelors degree|Ogden-Clearfield
17-2031|Biomedical Engineers|5|Bachelors degree|Salt Lake
17-2051|Civil Engineers|4|Bachelors degree|Central-Southwest
17-2051|Civil Engineers|4|Bachelors degree|Washington County
17-2051|Civil Engineers|4|Bachelors degree|Cache County
17-2051|Civil Engineers|5|Bachelors degree|Provo-Orem
17-2051|Civil Engineers|5|Bachelors degree|Eastern
17-2051|Civil Engineers|5|Bachelors degree|Salt Lake
17-2051|Civil Engineers|5|Bachelors degree|Ogden-Clearfield
17-2051|Civil Engineers|5|Bachelors degree|State of Utah
17-2061|Computer Hardware Engineers|4|Bachelors degree|State of Utah
17-2071|Electrical Engineers|4|Bachelors degree|Provo-Orem
17-2071|Electrical Engineers|4|Bachelors degree|Cache County
17-2071|Electrical Engineers|5|Bachelors degree|State of Utah
17-2071|Electrical Engineers|5|Bachelors degree|Ogden-Clearfield
17-2071|Electrical Engineers|5|Bachelors degree|Salt Lake
17-2072|Electronics Engineers, Except Computer|4|Bachelors degree|Salt Lake
17-2072|Electronics Engineers, Except Computer|4|Bachelors degree|State of Utah
17-2072|Electronics Engineers, Except Computer|5|Bachelors degree|Ogden-Clearfield
17-2081|Environmental Engineers|4|Bachelors degree|State of Utah
17-2111|Health and Safety Engineers, Except Mining Safety Engineers and Inspectors|4|Bachelors degree|State of Utah
17-2111|Health and Safety Engineers, Except Mining Safety Engineers and Inspectors|4|Bachelors degree|Salt Lake
17-2112|Industrial Engineers|4|Bachelors degree|Cache County
17-2112|Industrial Engineers|4|Bachelors degree|Provo-Orem
17-2112|Industrial Engineers|5|Bachelors degree|Salt Lake
17-2112|Industrial Engineers|5|Bachelors degree|State of Utah
17-2112|Industrial Engineers|5|Bachelors degree|Ogden-Clearfield
17-2141|Mechanical Engineers|4|Bachelors degree|Cache County
17-2141|Mechanical Engineers|5|Bachelors degree|Provo-Orem
17-2141|Mechanical Engineers|5|Bachelors degree|Ogden-Clearfield
17-2141|Mechanical Engineers|5|Bachelors degree|State of Utah
17-2141|Mechanical Engineers|5|Bachelors degree|Salt Lake
17-3011|Architectural and Civil Drafters|4|Associates degree|Eastern
17-3011|Architectural and Civil Drafters|4|Associates degree|State of Utah
17-3011|Architectural and Civil Drafters|4|Associates degree|Provo-Orem
17-3011|Architectural and Civil Drafters|5|Associates degree|Ogden-Clearfield
17-3011|Architectural and Civil Drafters|5|Associates degree|Salt Lake
17-3013|Mechanical Drafters|4|Associates degree|Ogden-Clearfield
17-3013|Mechanical Drafters|4|Associates degree|State of Utah
17-3022|Civil Engineering Technicians|4|Associates degree|State of Utah
17-3022|Civil Engineering Technicians|4|Associates degree|Salt Lake
17-3023|Electrical and Electronics Engineering Technicians|4|Associates degree|State of Utah
17-3023|Electrical and Electronics Engineering Technicians|4|Associates degree|Cache County
17-3023|Electrical and Electronics Engineering Technicians|5|Associates degree|Ogden-Clearfield
17-3023|Electrical and Electronics Engineering Technicians|5|Associates degree|Salt Lake
17-3026|Industrial Engineering Technicians|4|Associates degree|Salt Lake
17-3026|Industrial Engineering Technicians|4|Associates degree|State of Utah
17-3026|Industrial Engineering Technicians|5|Associates degree|Ogden-Clearfield
17-3031|Surveying and Mapping Technicians|4|High school diploma or equivalent|State of Utah
17-3031|Surveying and Mapping Technicians|4|High school diploma or equivalent|Salt Lake
19-1021|Biochemists and Biophysicists|4|Doctoral or professional degree|Salt Lake
19-1042|Medical Scientists, Except Epidemiologists|5|Doctoral or professional degree|Salt Lake
19-1042|Medical Scientists, Except Epidemiologists|5|Doctoral or professional degree|State of Utah
19-1042|Medical Scientists, Except Epidemiologists|5|Doctoral or professional degree|Provo-Orem
19-2021|Atmospheric and Space Scientists|4|Bachelors degree|State of Utah
19-2031|Chemists|4|Bachelors degree|State of Utah
19-2031|Chemists|4|Bachelors degree|Salt Lake
19-2041|Environmental Scientists and Specialists, Including Health|4|Bachelors degree|Salt Lake
19-2041|Environmental Scientists and Specialists, Including Health|4|Bachelors degree|State of Utah
19-3022|Survey Researchers|4|Masters degree|State of Utah
19-3031|Clinical, Counseling, and School Psychologists|4|Doctoral or professional degree|State of Utah
19-3031|Clinical, Counseling, and School Psychologists|4|Doctoral or professional degree|Ogden-Clearfield
19-3031|Clinical, Counseling, and School Psychologists|4|Doctoral or professional degree|Salt Lake
19-3031|Clinical, Counseling, and School Psychologists|4|Doctoral or professional degree|Washington County
19-3031|Clinical, Counseling, and School Psychologists|4|Doctoral or professional degree|Provo-Orem
19-4021|Biological Technicians|4|Bachelors degree|Salt Lake
19-4031|Chemical Technicians|4|Associates degree|Salt Lake
19-4031|Chemical Technicians|4|Associates degree|State of Utah
19-4061|Social Science Research Assistants|4|Bachelors degree|Salt Lake
19-4093|Forest and Conservation Technicians|4|Associates degree|Central-Southwest
21-1012|Educational, Guidance, School, and Vocational Counselors|4|Masters degree|Central-Southwest
21-1012|Educational, Guidance, School, and Vocational Counselors|4|Masters degree|Washington County
21-1012|Educational, Guidance, School, and Vocational Counselors|4|Masters degree|Eastern
21-1012|Educational, Guidance, School, and Vocational Counselors|4|Masters degree|Salt Lake
21-1012|Educational, Guidance, School, and Vocational Counselors|4|Masters degree|State of Utah
21-1012|Educational, Guidance, School, and Vocational Counselors|4|Masters degree|Provo-Orem
21-1012|Educational, Guidance, School, and Vocational Counselors|5|Masters degree|Cache County
21-1012|Educational, Guidance, School, and Vocational Counselors|5|Masters degree|Ogden-Clearfield
21-1013|Marriage and Family Therapists|4|Masters degree|State of Utah
21-1013|Marriage and Family Therapists|4|Masters degree|Provo-Orem
21-1015|Rehabilitation Counselors|4|Masters degree|Cache County
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|4|Bachelors degree|Central-Southwest
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|5|Bachelors degree|Washington County
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|5|Bachelors degree|Salt Lake
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|5|Bachelors degree|State of Utah
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|5|Bachelors degree|Ogden-Clearfield
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|5|Bachelors degree|Cache County
21-1018|Substance Abuse, Behavioral Disorder, and Mental Health Counselors|5|Bachelors degree|Provo-Orem
21-1021|Child, Family, and School Social Workers|4|Bachelors degree|Ogden-Clearfield
21-1021|Child, Family, and School Social Workers|4|Bachelors degree|State of Utah
21-1021|Child, Family, and School Social Workers|4|Bachelors degree|Central-Southwest
21-1021|Child, Family, and School Social Workers|5|Bachelors degree|Eastern
21-1021|Child, Family, and School Social Workers|5|Bachelors degree|Provo-Orem
21-1022|Healthcare Social Workers|4|Masters degree|Washington County
21-1022|Healthcare Social Workers|4|Masters degree|Salt Lake
21-1022|Healthcare Social Workers|4|Masters degree|Ogden-Clearfield
21-1022|Healthcare Social Workers|5|Masters degree|State of Utah
21-1023|Mental Health and Substance Abuse Social Workers|4|Masters degree|State of Utah
21-1023|Mental Health and Substance Abuse Social Workers|4|Masters degree|Ogden-Clearfield
21-1023|Mental Health and Substance Abuse Social Workers|4|Masters degree|Salt Lake
21-1091|Health Educators|4|Bachelors degree|State of Utah
21-1092|Probation Officers and Correctional Treatment Specialists|4|Bachelors degree|State of Utah
21-1094|Community Health Workers|4|High school diploma or equivalent|State of Utah
21-1094|Community Health Workers|4|High school diploma or equivalent|Salt Lake
21-2011|Clergy|4|Bachelors degree|Salt Lake
23-1011|Lawyers|4|Doctoral or professional degree|Washington County
23-1011|Lawyers|4|Doctoral or professional degree|Eastern
23-1011|Lawyers|4|Doctoral or professional degree|State of Utah
23-1011|Lawyers|4|Doctoral or professional degree|Ogden-Clearfield
23-1011|Lawyers|4|Doctoral or professional degree|Provo-Orem
23-1011|Lawyers|5|Doctoral or professional degree|Salt Lake
23-2011|Paralegals and Legal Assistants|4|Associates degree|Salt Lake
23-2011|Paralegals and Legal Assistants|4|Associates degree|Eastern
23-2011|Paralegals and Legal Assistants|4|Associates degree|Ogden-Clearfield
23-2011|Paralegals and Legal Assistants|4|Associates degree|State of Utah
23-2011|Paralegals and Legal Assistants|4|Associates degree|Provo-Orem
25-1011|Business Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1011|Business Teachers, Postsecondary|4|Doctoral or professional degree|Salt Lake
25-1021|Computer Science Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1022|Mathematical Science Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1032|Engineering Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1042|Biological Science Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1042|Biological Science Teachers, Postsecondary|4|Doctoral or professional degree|Salt Lake
25-1052|Chemistry Teachers, Postsecondary|4|Doctoral or professional degree|Salt Lake
25-1066|Psychology Teachers, Postsecondary|4|Doctoral or professional degree|Salt Lake
25-1071|Health Specialties Teachers, Postsecondary|5|Doctoral or professional degree|Salt Lake
25-1071|Health Specialties Teachers, Postsecondary|5|Doctoral or professional degree|State of Utah
25-1072|Nursing Instructors and Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1072|Nursing Instructors and Teachers, Postsecondary|4|Doctoral or professional degree|Salt Lake
25-1081|Education Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1081|Education Teachers, Postsecondary|5|Doctoral or professional degree|Salt Lake
25-1111|Criminal Justice and Law Enforcement Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1121|Art, Drama, and Music Teachers, Postsecondary|4|Masters degree|State of Utah
25-1121|Art, Drama, and Music Teachers, Postsecondary|4|Masters degree|Salt Lake
25-1122|Communications Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1123|English Language and Literature Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1124|Foreign Language and Literature Teachers, Postsecondary|4|Doctoral or professional degree|State of Utah
25-1194|Vocational Education Teachers, Postsecondary|4|Bachelors degree|State of Utah
25-1194|Vocational Education Teachers, Postsecondary|4|Bachelors degree|Ogden-Clearfield
25-1194|Vocational Education Teachers, Postsecondary|4|Bachelors degree|Salt Lake
25-1194|Vocational Education Teachers, Postsecondary|4|Bachelors degree|Provo-Orem
25-1194|Vocational Education Teachers, Postsecondary|5|Bachelors degree|Cache County
