CIPCode2000|CIPTitle2000|Action|Text change|CIPCode2010|CIPTitle2010
120410|Nail Technician/Specialist and Manicurist|No substantive changes|no|120410|Nail Technician/Specialist and Manicurist
120411|Permanent Cosmetics/Makeup and Tattooing|No substantive changes|no|120411|Permanent Cosmetics/Makeup and Tattooing
120412|Salon/Beauty Salon Management/Manager|No substantive changes|no|120412|Salon/Beauty Salon Management/Manager
120413|Cosmetology, Barber/Styling, and Nail Instructor|No substantive changes|no|120413|Cosmetology, Barber/Styling, and Nail Instructor
120499|Cosmetology and Related Personal Grooming Arts, Other|No substantive changes|no|120499|Cosmetology and Related Personal Grooming Arts, Other
1205|Culinary Arts and Related Services|No substantive changes|no|1205|Culinary Arts and Related Services
120500|Cooking and Related Culinary Arts, General|No substantive changes|no|120500|Cooking and Related Culinary Arts, General
120501|Baking and Pastry Arts/Baker/Pastry Chef|No substantive changes|no|120501|Baking and Pastry Arts/Baker/Pastry Chef
120502|Bartending/Bartender|No substantive changes|no|120502|Bartending/Bartender
120503|Culinary Arts/Chef Training|No substantive changes|no|120503|Culinary Arts/Chef Training
120504|Restaurant, Culinary, and Catering Management/Manager|No substantive changes|no|120504|Restaurant, Culinary, and Catering Management/Manager
120505|Food Preparation/Professional Cooking/Kitchen Assistant|No substantive changes|no|120505|Food Preparation/Professional Cooking/Kitchen Assistant
120506|Meat Cutting/Meat Cutter|No substantive changes|no|120506|Meat Cutting/Meat Cutter
120507|Food Service, Waiter/Waitress, and Dining Room Management/Manager|No substantive changes|no|120507|Food Service, Waiter/Waitress, and Dining Room Management/Manager
120508|Institutional Food Workers|No substantive changes|no|120508|Institutional Food Workers
120599|Culinary Arts and Related Services, Other|No substantive changes|no|120599|Culinary Arts and Related Services, Other
1299|Personal and Culinary Services, Other|No substantive changes|no|1299|Personal and Culinary Services, Other
129999|Personal and Culinary Services, Other|No substantive changes|no|129999|Personal and Culinary Services, Other
13|EDUCATION|No substantive changes|no|13|EDUCATION
1301|Education, General|No substantive changes|no|1301|Education, General
130101|Education, General|No substantive changes|no|130101|Education, General
1302|Bilingual, Multilingual, and Multicultural Education|No substantive changes|no|1302|Bilingual, Multilingual, and Multicultural Education
130201|Bilingual and Multilingual Education|No substantive changes|no|130201|Bilingual and Multilingual Education
130202|Multicultural Education|No substantive changes|no|130202|Multicultural Education
130203|Indian/Native American Education|No substantive changes|no|130203|Indian/Native American Education
130299|Bilingual, Multilingual, and Multicultural Education, Other|No substantive changes|no|130299|Bilingual, Multilingual, and Multicultural Education, Other
1303|Curriculum and Instruction|No substantive changes|no|1303|Curriculum and Instruction
130301|Curriculum and Instruction|No substantive changes|no|130301|Curriculum and Instruction
1304|Educational Administration and Supervision|No substantive changes|no|1304|Educational Administration and Supervision
130401|Educational Leadership and Administration, General|No substantive changes|no|130401|Educational Leadership and Administration, General
130402|Administration of Special Education|No substantive changes|no|130402|Administration of Special Education
130403|Adult and Continuing Education Administration|No substantive changes|no|130403|Adult and Continuing Education Administration
130404|Educational, Instructional, and Curriculum Supervision|No substantive changes|no|130404|Educational, Instructional, and Curriculum Supervision
130406|Higher Education/Higher Education Administration|No substantive changes|no|130406|Higher Education/Higher Education Administration
130407|Community College Education|No substantive changes|no|130407|Community College Education
130408|Elementary and Middle School Administration/Principalship|No substantive changes|no|130408|Elementary and Middle School Administration/Principalship
130409|Secondary School Administration/Principalship|No substantive changes|no|130409|Secondary School Administration/Principalship
130410|Urban Education and Leadership|No substantive changes|no|130410|Urban Education and Leadership
130411|Superintendency and Educational System Administration|No substantive changes|no|130411|Superintendency and Educational System Administration
130499|Educational Administration and Supervision, Other|No substantive changes|no|130499|Educational Administration and Supervision, Other
1305|Educational/Instructional Media Design|No substantive changes|no|1305|Educational/Instructional Media Design
130501|Educational/Instructional Media Design|No substantive changes|yes|130501|Educational/Instructional Technology
1306|Educational Assessment, Evaluation, and Research|No substantive changes|no|1306|Educational Assessment, Evaluation, and Research
130601|Educational Evaluation and Research|No substantive changes|no|130601|Educational Evaluation and Research
130603|Educational Statistics and Research Methods|No substantive changes|no|130603|Educational Statistics and Research Methods
130604|Educational Assessment, Testing, and Measurement|No substantive changes|no|130604|Educational Assessment, Testing, and Measurement
130699|Educational Assessment, Evaluation, and Research, Other|No substantive changes|no|130699|Educational Assessment, Evaluation, and Research, Other
1307|International and Comparative Education|No substantive changes|no|1307|International and Comparative Education
130701|International and Comparative Education|No substantive changes|no|130701|International and Comparative Education
1309|Social and Philosophical Foundations of Education|No substantive changes|no|1309|Social and Philosophical Foundations of Education
130901|Social and Philosophical Foundations of Education|No substantive changes|no|130901|Social and Philosophical Foundations of Education
1310|Special Education and Teaching|No substantive changes|no|1310|Special Education and Teaching
131001|Special Education and Teaching, General|No substantive changes|no|131001|Special Education and Teaching, General
131003|Education/Teaching of Individuals with Hearing Impairments Including Deafness|No substantive changes|no|131003|Education/Teaching of Individuals with Hearing Impairments Including Deafness
131004|Education/Teaching of the Gifted and Talented|No substantive changes|no|131004|Education/Teaching of the Gifted and Talented
131005|Education/Teaching of Individuals with Emotional Disturbances|No substantive changes|no|131005|Education/Teaching of Individuals with Emotional Disturbances
131006|Education/Teaching of Individuals with Mental Retardation|No substantive changes|no|131006|Education/Teaching of Individuals with Mental Retardation
131007|Education/Teaching of Individuals with Multiple Disabilities|No substantive changes|no|131007|Education/Teaching of Individuals with Multiple Disabilities
131008|Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments|No substantive changes|no|131008|Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments
131009|Education/Teaching of Individuals with Vision Impairments Including Blindness|No substantive changes|no|131009|Education/Teaching of Individuals with Vision Impairments Including Blindness
131011|Education/Teaching of Individuals with Specific Learning Disabilities|No substantive changes|no|131011|Education/Teaching of Individuals with Specific Learning Disabilities
131012|Education/Teaching of Individuals with Speech or Language Impairments|No substantive changes|no|131012|Education/Teaching of Individuals with Speech or Language Impairments
131013|Education/Teaching of Individuals with Autism|No substantive changes|no|131013|Education/Teaching of Individuals with Autism
131014|Education/Teaching of Individuals Who are Developmentally Delayed|No substantive changes|no|131014|Education/Teaching of Individuals Who are Developmentally Delayed
131015|Education/Teaching of Individuals in Early Childhood Special Education Programs|No substantive changes|no|131015|Education/Teaching of Individuals in Early Childhood Special Education Programs
131016|Education/Teaching of Individuals with Traumatic Brain Injuries|No substantive changes|no|131016|Education/Teaching of Individuals with Traumatic Brain Injuries
131099|Special Education and Teaching, Other|No substantive changes|no|131099|Special Education and Teaching, Other
1311|Student Counseling and Personnel Services|No substantive changes|no|1311|Student Counseling and Personnel Services
131101|Counselor Education/School Counseling and Guidance Services|No substantive changes|no|131101|Counselor Education/School Counseling and Guidance Services
131102|College Student Counseling and Personnel Services|No substantive changes|no|131102|College Student Counseling and Personnel Services
131199|Student Counseling and Personnel Services, Other|No substantive changes|no|131199|Student Counseling and Personnel Services, Other
1312|Teacher Education and Professional Development, Specific Levels and Methods|No substantive changes|no|1312|Teacher Education and Professional Development, Specific Levels and Methods
131201|Adult and Continuing Education and Teaching|No substantive changes|no|131201|Adult and Continuing Education and Teaching
131202|Elementary Education and Teaching|No substantive changes|no|131202|Elementary Education and Teaching
131203|Junior High/Intermediate/Middle School Education and Teaching|No substantive changes|no|131203|Junior High/Intermediate/Middle School Education and Teaching
131205|Secondary Education and Teaching|No substantive changes|no|131205|Secondary Education and Teaching
131206|Teacher Education, Multiple Levels|No substantive changes|no|131206|Teacher Education, Multiple Levels
131207|Montessori Teacher Education|No substantive changes|no|131207|Montessori Teacher Education
131208|Waldorf/Steiner Teacher Education|No substantive changes|no|131208|Waldorf/Steiner Teacher Education
131209|Kindergarten/Preschool Education and Teaching|No substantive changes|no|131209|Kindergarten/Preschool Education and Teaching
131210|Early Childhood Education and Teaching|No substantive changes|no|131210|Early Childhood Education and Teaching
131299|Teacher Education and Professional Development, Specific Levels and Methods, Other|No substantive changes|no|131299|Teacher Education and Professional Development, Specific Levels and Methods, Other
1313|Teacher Education and Professional Development, Specific Subject Areas|No substantive changes|no|1313|Teacher Education and Professional Development, Specific Subject Areas
131301|Agricultural Teacher Education|No substantive changes|no|131301|Agricultural Teacher Education
131302|Art Teacher Education|No substantive changes|no|131302|Art Teacher Education
131303|Business Teacher Education|No substantive changes|no|131303|Business Teacher Education
131304|Driver and Safety Teacher Education|No substantive changes|no|131304|Driver and Safety Teacher Education
131305|English/Language Arts Teacher Education|No substantive changes|no|131305|English/Language Arts Teacher Education
131306|Foreign Language Teacher  Education|No substantive changes|no|131306|Foreign Language Teacher  Education
131307|Health Teacher Education|No substantive changes|no|131307|Health Teacher Education
131308|Family and Consumer Sciences/Home Economics Teacher Education|No substantive changes|no|131308|Family and Consumer Sciences/Home Economics Teacher Education
131309|Technology Teacher Education/Industrial Arts Teacher Education|No substantive changes|no|131309|Technology Teacher Education/Industrial Arts Teacher Education
131310|Sales and Marketing Operations/Marketing and Distribution   Teacher Education|No substantive changes|no|131310|Sales and Marketing Operations/Marketing and Distribution   Teacher Education
131311|Mathematics Teacher Education|No substantive changes|no|131311|Mathematics Teacher Education
131312|Music Teacher Education|No substantive changes|no|131312|Music Teacher Education
131314|Physical Education Teaching and Coaching|No substantive changes|no|131314|Physical Education Teaching and Coaching
131315|Reading Teacher Education|No substantive changes|no|131315|Reading Teacher Education
131316|Science Teacher Education/General Science Teacher Education|No substantive changes|no|131316|Science Teacher Education/General Science Teacher Education
131317|Social Science Teacher Education|No substantive changes|no|131317|Social Science Teacher Education
131318|Social Studies Teacher Education|No substantive changes|no|131318|Social Studies Teacher Education
131319|Technical Teacher Education|No substantive changes|no|131319|Technical Teacher Education
131320|Trade and Industrial Teacher Education|No substantive changes|no|131320|Trade and Industrial Teacher Education
131321|Computer Teacher Education|No substantive changes|no|131321|Computer Teacher Education
131322|Biology Teacher Education|No substantive changes|no|131322|Biology Teacher Education
131323|Chemistry Teacher Education|No substantive changes|no|131323|Chemistry Teacher Education
131324|Drama and Dance Teacher Education|No substantive changes|no|131324|Drama and Dance Teacher Education
131325|French Language Teacher Education|No substantive changes|no|131325|French Language Teacher Education
131326|German Language Teacher Education|No substantive changes|no|131326|German Language Teacher Education
131327|Health Occupations Teacher Education|No substantive changes|no|131327|Health Occupations Teacher Education
131328|History Teacher Education|No substantive changes|no|131328|History Teacher Education
131329|Physics Teacher Education|No substantive changes|no|131329|Physics Teacher Education
131330|Spanish Language Teacher Education|No substantive changes|no|131330|Spanish Language Teacher Education
131331|Speech Teacher Education|No substantive changes|no|131331|Speech Teacher Education
131332|Geography Teacher Education|No substantive changes|no|131332|Geography Teacher Education
131333|Latin Teacher Education|No substantive changes|no|131333|Latin Teacher Education
131334|School Librarian/School Library Media Specialist|No substantive changes|no|131334|School Librarian/School Library Media Specialist
131335|Psychology Teacher Education|No substantive changes|no|131335|Psychology Teacher Education
131399|Teacher Education and Professional Development, Specific Subject Areas, Other|No substantive changes|no|131399|Teacher Education and Professional Development, Specific Subject Areas, Other
1314|Teaching English or French as a Second or Foreign Language|No substantive changes|no|1314|Teaching English or French as a Second or Foreign Language
131401|Teaching English as a Second or Foreign Language/ESL Language Instructor|No substantive changes|no|131401|Teaching English as a Second or Foreign Language/ESL Language Instructor
131402|Teaching French as a Second or Foreign Language|No substantive changes|no|131402|Teaching French as a Second or Foreign Language
131499|Teaching English or French as a Second or Foreign Language, Other|No substantive changes|no|131499|Teaching English or French as a Second or Foreign Language, Other
1315|Teaching Assistants/Aides|No substantive changes|no|1315|Teaching Assistants/Aides
131501|Teacher Assistant/Aide|No substantive changes|no|131501|Teacher Assistant/Aide
131502|Adult Literacy Tutor/Instructor|No substantive changes|no|131502|Adult Literacy Tutor/Instructor
131599|Teaching Assistants/Aides, Other|No substantive changes|no|131599|Teaching Assistants/Aides, Other
1399|Education, Other|No substantive changes|no|1399|Education, Other
139999|Education, Other|No substantive changes|no|139999|Education, Other
14|ENGINEERING|No substantive changes|no|14|ENGINEERING
1401|Engineering, General|No substantive changes|no|1401|Engineering, General
140101|Engineering, General|No substantive changes|yes|140101|Engineering, General
1402|Aerospace, Aeronautical and Astronautical Engineering|No substantive changes|no|1402|Aerospace, Aeronautical and Astronautical Engineering
140201|Aerospace, Aeronautical and Astronautical Engineering|No substantive changes|yes|140201|Aerospace, Aeronautical and Astronautical/Space Engineering
1403|Agricultural/Biological Engineering and Bioengineering|No substantive changes|yes|1403|Agricultural Engineering
140301|Agricultural/Biological Engineering and Bioengineering|No substantive changes|yes|140301|Agricultural Engineering
1404|Architectural Engineering|No substantive changes|no|1404|Architectural Engineering
140401|Architectural Engineering|No substantive changes|no|140401|Architectural Engineering
1405|Biomedical/Medical Engineering|No substantive changes|no|1405|Biomedical/Medical Engineering
140501|Biomedical/Medical Engineering|No substantive changes|yes|140501|Bioengineering and Biomedical Engineering
1406|Ceramic Sciences and Engineering|No substantive changes|no|1406|Ceramic Sciences and Engineering
140601|Ceramic Sciences and Engineering|No substantive changes|no|140601|Ceramic Sciences and Engineering
1407|Chemical Engineering|No substantive changes|no|1407|Chemical Engineering
140701|Chemical Engineering|No substantive changes|no|140701|Chemical Engineering
1408|Civil Engineering|No substantive changes|no|1408|Civil Engineering
140801|Civil Engineering, General|No substantive changes|no|140801|Civil Engineering, General
140802|Geotechnical Engineering|No substantive changes|yes|140802|Geotechnical and Geoenvironmental Engineering
140803|Structural Engineering|No substantive changes|no|140803|Structural Engineering
140804|Transportation and Highway Engineering|No substantive changes|no|140804|Transportation and Highway Engineering
140805|Water Resources Engineering|No substantive changes|no|140805|Water Resources Engineering
140899|Civil Engineering, Other|No substantive changes|no|140899|Civil Engineering, Other
1409|Computer Engineering, General|No substantive changes|no|1409|Computer Engineering
140901|Computer Engineering, General|No substantive changes|no|140901|Computer Engineering, General
140902|Computer Hardware Engineering|No substantive changes|no|140902|Computer Hardware Engineering
140903|Computer Software Engineering|No substantive changes|no|140903|Computer Software Engineering
140999|Computer Engineering, Other|No substantive changes|no|140999|Computer Engineering, Other
1410|Electrical, Electronics and Communications Engineering|No substantive changes|no|1410|Electrical, Electronics and Communications Engineering
141001|Electrical, Electronics and Communications Engineering|No substantive changes|yes|141001|Electrical and Electronics Engineering
1411|Engineering Mechanics|No substantive changes|no|1411|Engineering Mechanics
141101|Engineering Mechanics|No substantive changes|no|141101|Engineering Mechanics
1412|Engineering Physics|No substantive changes|no|1412|Engineering Physics
141201|Engineering Physics|No substantive changes|yes|141201|Engineering Physics/Applied Physics
1413|Engineering Science|No substantive changes|no|1413|Engineering Science
141301|Engineering Science|No substantive changes|no|141301|Engineering Science
1414|Environmental/Environmental Health Engineering|No substantive changes|no|1414|Environmental/Environmental Health Engineering
141401|Environmental/Environmental Health Engineering|No substantive changes|no|141401|Environmental/Environmental Health Engineering
1418|Materials Engineering|No substantive changes|no|1418|Materials Engineering
141801|Materials Engineering|No substantive changes|no|141801|Materials Engineering
1419|Mechanical Engineering|No substantive changes|no|1419|Mechanical Engineering
141901|Mechanical Engineering|No substantive changes|no|141901|Mechanical Engineering
1420|Metallurgical Engineering|No substantive changes|no|1420|Metallurgical Engineering
142001|Metallurgical Engineering|No substantive changes|no|142001|Metallurgical Engineering
1421|Mining and Mineral Engineering|No substantive changes|no|1421|Mining and Mineral Engineering
142101|Mining and Mineral Engineering|No substantive changes|no|142101|Mining and Mineral Engineering
1422|Naval Architecture and Marine Engineering|No substantive changes|no|1422|Naval Architecture and Marine Engineering
142201|Naval Architecture and Marine Engineering|No substantive changes|no|142201|Naval Architecture and Marine Engineering
1423|Nuclear Engineering|No substantive changes|no|1423|Nuclear Engineering
142301|Nuclear Engineering|No substantive changes|no|142301|Nuclear Engineering
1424|Ocean Engineering|No substantive changes|no|1424|Ocean Engineering
142401|Ocean Engineering|No substantive changes|no|142401|Ocean Engineering
1425|Petroleum Engineering|No substantive changes|no|1425|Petroleum Engineering
142501|Petroleum Engineering|No substantive changes|no|142501|Petroleum Engineering
1427|Systems Engineering|No substantive changes|no|1427|Systems Engineering
142701|Systems Engineering|No substantive changes|no|142701|Systems Engineering
1428|Textile Sciences and Engineering|No substantive changes|no|1428|Textile Sciences and Engineering
142801|Textile Sciences and Engineering|No substantive changes|no|142801|Textile Sciences and Engineering
1431|Materials Science|Moved to|no|4010|Materials Sciences
143101|Materials Science|Moved to|no|401001|Materials Science
1432|Polymer/Plastics Engineering|No substantive changes|no|1432|Polymer/Plastics Engineering
143201|Polymer/Plastics Engineering|No substantive changes|no|143201|Polymer/Plastics Engineering
1433|Construction Engineering|No substantive changes|no|1433|Construction Engineering
143301|Construction Engineering|No substantive changes|no|143301|Construction Engineering
1434|Forest Engineering|No substantive changes|no|1434|Forest Engineering
143401|Forest Engineering|No substantive changes|no|143401|Forest Engineering
1435|Industrial Engineering|No substantive changes|no|1435|Industrial Engineering
143501|Industrial Engineering|No substantive changes|no|143501|Industrial Engineering
1436|Manufacturing Engineering|No substantive changes|no|1436|Manufacturing Engineering
143601|Manufacturing Engineering|No substantive changes|no|143601|Manufacturing Engineering
1437|Operations Research|No substantive changes|no|1437|Operations Research
143701|Operations Research|No substantive changes|no|143701|Operations Research
1438|Surveying Engineering|No substantive changes|no|1438|Surveying Engineering
143801|Surveying Engineering|No substantive changes|no|143801|Surveying Engineering
1439|Geological/Geophysical Engineering|No substantive changes|no|1439|Geological/Geophysical Engineering
143901|Geological/Geophysical Engineering|No substantive changes|no|143901|Geological/Geophysical Engineering
1499|Engineering, Other|No substantive changes|no|1499|Engineering, Other
149999|Engineering, Other|No substantive changes|no|149999|Engineering, Other
15|ENGINEERING TECHNOLOGIES/TECHNICIANS|No substantive changes|yes|15|ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
1500|Engineering Technology, General|No substantive changes|no|1500|Engineering Technology, General
150000|Engineering Technology, General|No substantive changes|no|150000|Engineering Technology, General
1501|Architectural Engineering Technologies/Technicians|No substantive changes|no|1501|Architectural Engineering Technologies/Technicians
150101|Architectural Engineering Technology/Technician|No substantive changes|no|150101|Architectural Engineering Technology/Technician
1502|Civil Engineering Technologies/Technicians|No substantive changes|no|1502|Civil Engineering Technologies/Technicians
150201|Civil Engineering Technology/Technician|No substantive changes|no|150201|Civil Engineering Technology/Technician
1503|Electrical Engineering Technologies/Technicians|No substantive changes|no|1503|Electrical Engineering Technologies/Technicians
150303|Electrical, Electronic and Communications Engineering Technology/Technician|No substantive changes|no|150303|Electrical, Electronic and Communications Engineering Technology/Technician
150304|Laser and Optical Technology/Technician|No substantive changes|no|150304|Laser and Optical Technology/Technician
150305|Telecommunications Technology/Technician|No substantive changes|no|150305|Telecommunications Technology/Technician
150399|Electrical and Electronic Engineering Technologies/Technicians, Other|No substantive changes|no|150399|Electrical and Electronic Engineering Technologies/Technicians, Other
1504|Electromechanical Instrumentation and Maintenance Technologies/Technicians|No substantive changes|no|1504|Electromechanical Instrumentation and Maintenance Technologies/Technicians
150401|Biomedical Technology/Technician|No substantive changes|no|150401|Biomedical Technology/Technician
150403|Electromechanical Technology/Electromechanical Engineering Technology|No substantive changes|no|150403|Electromechanical Technology/Electromechanical Engineering Technology
150404|Instrumentation Technology/Technician|No substantive changes|no|150404|Instrumentation Technology/Technician
150405|Robotics Technology/Technician|No substantive changes|no|150405|Robotics Technology/Technician
150499|Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other|No substantive changes|no|150499|Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other
1505|Environmental Control Technologies/Technicians|No substantive changes|no|1505|Environmental Control Technologies/Technicians
150501|Heating, Air Conditioning and Refrigeration Technology/Technician (ACH/ACR/ACHR/HRAC/HVAC/AC Technology)|No substantive changes|yes|150501|Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician
150503|Energy Management and Systems Technology/Technician|No substantive changes|no|150503|Energy Management and Systems Technology/Technician
150505|Solar Energy Technology/Technician|No substantive changes|no|150505|Solar Energy Technology/Technician
150506|Water Quality and Wastewater Treatment Management and Recycling Technology/Technician|No substantive changes|no|150506|Water Quality and Wastewater Treatment Management and Recycling Technology/Technician
150507|Environmental Engineering Technology/Environmental Technology|No substantive changes|no|150507|Environmental Engineering Technology/Environmental Technology
150508|Hazardous Materials Management and Waste Technology/Technician|No substantive changes|no|150508|Hazardous Materials Management and Waste Technology/Technician
150599|Environmental Control Technologies/Technicians, Other|No substantive changes|no|150599|Environmental Control Technologies/Technicians, Other
1506|Industrial Production Technologies/Technicians|No substantive changes|no|1506|Industrial Production Technologies/Technicians
150607|Plastics Engineering Technology/Technician|No substantive changes|yes|150607|Plastics and Polymer Engineering Technology/Technician
150611|Metallurgical Technology/Technician|No substantive changes|no|150611|Metallurgical Technology/Technician
150612|Industrial Technology/Technician|No substantive changes|no|150612|Industrial Technology/Technician
150613|Manufacturing Technology/Technician|No substantive changes|yes|150613|Manufacturing Engineering Technology/Technician
150699|Industrial Production Technologies/Technicians, Other|No substantive changes|no|150699|Industrial Production Technologies/Technicians, Other
1507|Quality Control and Safety Technologies/Technicians|No substantive changes|no|1507|Quality Control and Safety Technologies/Technicians
150701|Occupational Safety and Health Technology/Technician|No substantive changes|no|150701|Occupational Safety and Health Technology/Technician
150702|Quality Control Technology/Technician|No substantive changes|no|150702|Quality Control Technology/Technician
150703|Industrial Safety Technology/Technician|No substantive changes|no|150703|Industrial Safety Technology/Technician
150704|Hazardous Materials Information Systems Technology/Technician|No substantive changes|no|150704|Hazardous Materials Information Systems Technology/Technician
150799|Quality Control and Safety Technologies/Technicians, Other|No substantive changes|no|150799|Quality Control and Safety Technologies/Technicians, Other
1508|Mechanical Engineering Related Technologies/Technicians|No substantive changes|no|1508|Mechanical Engineering Related Technologies/Technicians
150801|Aeronautical/Aerospace Engineering Technology/Technician|No substantive changes|no|150801|Aeronautical/Aerospace Engineering Technology/Technician
150803|Automotive Engineering Technology/Technician|No substantive changes|no|150803|Automotive Engineering Technology/Technician
150805|Mechanical Engineering/Mechanical Technology/Technician|No substantive changes|no|150805|Mechanical Engineering/Mechanical Technology/Technician
150899|Mechanical Engineering Related Technologies/Technicians, Other|No substantive changes|no|150899|Mechanical Engineering Related Technologies/Technicians, Other
1509|Mining and Petroleum Technologies/Technicians|No substantive changes|no|1509|Mining and Petroleum Technologies/Technicians
150901|Mining Technology/Technician|No substantive changes|no|150901|Mining Technology/Technician
150903|Petroleum Technology/Technician|No substantive changes|no|150903|Petroleum Technology/Technician
150999|Mining and Petroleum Technologies/Technicians, Other|No substantive changes|no|150999|Mining and Petroleum Technologies/Technicians, Other
1510|Construction Engineering Technologies|No substantive changes|no|1510|Construction Engineering Technologies
151001|Construction Engineering Technology/Technician|No substantive changes|no|151001|Construction Engineering Technology/Technician
1511|Engineering-Related Technologies|No substantive changes|no|1511|Engineering-Related Technologies
151102|Surveying Technology/Surveying|No substantive changes|no|151102|Surveying Technology/Surveying
151103|Hydraulics and Fluid Power Technology/Technician|No substantive changes|no|151103|Hydraulics and Fluid Power Technology/Technician
151199|Engineering-Related Technologies, Other|No substantive changes|no|151199|Engineering-Related Technologies, Other
1512|Computer Engineering Technologies/Technicians|No substantive changes|no|1512|Computer Engineering Technologies/Technicians
151201|Computer Engineering Technology/Technician|No substantive changes|no|151201|Computer Engineering Technology/Technician
151202|Computer Technology/Computer Systems Technology|No substantive changes|no|151202|Computer Technology/Computer Systems Technology
151203|Computer Hardware Technology/Technician|No substantive changes|no|151203|Computer Hardware Technology/Technician
151204|Computer Software Technology/Technician|No substantive changes|no|151204|Computer Software Technology/Technician
151299|Computer Engineering Technologies/Technicians, Other|No substantive changes|no|151299|Computer Engineering Technologies/Technicians, Other
1513|Drafting/Design Engineering Technologies/Technicians|No substantive changes|no|1513|Drafting/Design Engineering Technologies/Technicians
151301|Drafting and Design Technology/Technician, General|No substantive changes|no|151301|Drafting and Design Technology/Technician, General
151302|CAD/CADD Drafting and/or Design Technology/Technician|No substantive changes|no|151302|CAD/CADD Drafting and/or Design Technology/Technician
151303|Architectural Drafting and Architectural CAD/CADD|No substantive changes|no|151303|Architectural Drafting and Architectural CAD/CADD
151304|Civil Drafting and Civil Engineering CAD/CADD|No substantive changes|no|151304|Civil Drafting and Civil Engineering CAD/CADD
151305|Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD|No substantive changes|no|151305|Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD
151306|Mechanical Drafting and Mechanical Drafting CAD/CADD|No substantive changes|no|151306|Mechanical Drafting and Mechanical Drafting CAD/CADD
151399|Drafting/Design Engineering Technologies/Technicians, Other|No substantive changes|no|151399|Drafting/Design Engineering Technologies/Technicians, Other
1514|Nuclear Engineering Technologies/Technicians|No substantive changes|no|1514|Nuclear Engineering Technologies/Technicians
151401|Nuclear Engineering Technology/Technician|No substantive changes|no|151401|Nuclear Engineering Technology/Technician
1515|Engineering-Related Fields|No substantive changes|no|1515|Engineering-Related Fields
151501|Engineering/Industrial Management|No substantive changes|no|151501|Engineering/Industrial Management
1599|Engineering Technologies/Technicians, Other|No substantive changes|no|1599|Engineering Technologies/Technicians, Other
159999|Engineering Technologies/Technicians, Other|No substantive changes|yes|159999|Engineering Technologies and Engineering-Related Fields, Other
16|FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS|No substantive changes|no|16|FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS
1601|Linguistic, Comparative, and Related Language Studies and Services|No substantive changes|no|1601|Linguistic, Comparative, and Related Language Studies and Services
160101|Foreign Languages and Literatures, General|No substantive changes|no|160101|Foreign Languages and Literatures, General
160102|Linguistics|No substantive changes|no|160102|Linguistics
160103|Language Interpretation and Translation|No substantive changes|no|160103|Language Interpretation and Translation
160104|Comparative Literature|No substantive changes|no|160104|Comparative Literature
160199|Linguistic, Comparative, and Related Language Studies and Services, Other|No substantive changes|no|160199|Linguistic, Comparative, and Related Language Studies and Services, Other
1602|African Languages, Literatures, and Linguistics|No substantive changes|no|1602|African Languages, Literatures, and Linguistics
160201|African Languages, Literatures, and Linguistics|No substantive changes|yes|160201|African Languages, Literatures, and Linguistics
1603|East Asian Languages, Literatures, and Linguistics|No substantive changes|no|1603|East Asian Languages, Literatures, and Linguistics
160300|East Asian Languages, Literatures, and Linguistics, General|No substantive changes|yes|160300|East Asian Languages, Literatures, and Linguistics, General
160301|Chinese Language and Literature|No substantive changes|no|160301|Chinese Language and Literature
160302|Japanese Language and Literature|No substantive changes|no|160302|Japanese Language and Literature
160303|Korean Language and Literature|No substantive changes|no|160303|Korean Language and Literature
160304|Tibetan Language and Literature|No substantive changes|no|160304|Tibetan Language and Literature
160399|East Asian Languages, Literatures, and Linguistics, Other|No substantive changes|no|160399|East Asian Languages, Literatures, and Linguistics, Other
1604|Slavic, Baltic and Albanian Languages, Literatures, and Linguistics|No substantive changes|no|1604|Slavic, Baltic and Albanian Languages, Literatures, and Linguistics
160400|Slavic Languages, Literatures, and Linguistics, General|No substantive changes|no|160400|Slavic Languages, Literatures, and Linguistics, General
160401|Baltic Languages, Literatures, and Linguistics|No substantive changes|yes|160401|Baltic Languages, Literatures, and Linguistics
160402|Russian Language and Literature|No substantive changes|no|160402|Russian Language and Literature
160404|Albanian Language and Literature|No substantive changes|no|160404|Albanian Language and Literature
160405|Bulgarian Language and Literature|No substantive changes|no|160405|Bulgarian Language and Literature
160406|Czech Language and Literature|No substantive changes|no|160406|Czech Language and Literature
160407|Polish Language and Literature|No substantive changes|no|160407|Polish Language and Literature
160408|Serbian, Croatian, and Serbo-Croatian Languages and Literatures|No substantive changes|yes|160408|Bosnian, Serbian, and Croatian Languages and Literatures
160409|Slovak Language and Literature|No substantive changes|no|160409|Slovak Language and Literature
160410|Ukrainian Language and Literature|No substantive changes|no|160410|Ukrainian Language and Literature
