CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
01|010105|Agricultural/Farm Supplies Retailing and Wholesaling.|A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing |NULL|NULL|NULL|STEM
01|010106|Agricultural Business Technology.|A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultur|NULL|NULL|NULL|STEM
01|010199|Agricultural Business and Management, Other.|Any instructional program in agricultural business and management not listed above.|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|0102|Agricultural Mechanization.|Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.|NULL|NULL|NULL|STEM
01|010201|Agricultural Mechanization, General.|A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes i|NULL|NULL|NULL|STEM
01|010204|Agricultural Power Machinery Operation.|A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature.  Includes instruction in operating specialized equipment such as terrestrial and airborne crop-s|49.0202 - Construction/Heavy Equipment/Earthmoving Equipment Operation.|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010205|Agricultural Mechanics and Equipment/Machine Technology.|A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and thei|NULL|NULL|NULL|STEM
01|010299|Agricultural Mechanization, Other.|Any instructional program in agricultural mechanization not listed above.|NULL|NULL|NULL|STEM
01|0103|Agricultural Production Operations.|Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.|NULL|NULL|NULL|STEM
01|010301|Agricultural Production Operations, General.|A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness.|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010302|Animal/Livestock Husbandry and Production.|A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and o|NULL|NULL|NULL|STEM
01|010303|Aquaculture.|A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and |NULL|NULL|NULL|STEM
01|010304|Crop Production.|A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular |NULL|NULL|NULL|STEM
01|010306|Dairy Husbandry and Production.|A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design an|NULL|NULL|NULL|STEM
01|010307|Horse Husbandry/Equine Science and Management.|A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principle|NULL|NULL|NULL|STEM
01|010308|Agroecology and Sustainable Agriculture.|A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and social|30.3301 - Sustainability Studies.|NULL|NULL|STEM
01|010309|Viticulture and Enology.|A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; pla|NULL|NULL|NULL|STEM
01|010399|Agricultural Production Operations, Other.|Any instructional program in agricultural production operations not listed above.|NULL|NULL|NULL|STEM
01|0104|Agricultural and Food Products Processing.|Instructional content is defined in code 01.0401.|NULL|NULL|NULL|STEM
01|010401|Agricultural and Food Products Processing.|A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial prop|NULL|NULL|NULL|STEM
01|0105|Agricultural and Domestic Animal Services.|Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.|NULL|NULL|NULL|STEM
01|010504|Dog/Pet/Animal Grooming.|A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; |NULL|NULL|NULL|STEM
01|010505|Animal Training.|A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with d|NULL|NULL|NULL|STEM
01|010507|Equestrian/Equine Studies.|A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and rider|NULL|NULL|NULL|STEM
01|010508|Taxidermy/Taxidermist.|A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesse|NULL|NULL|NULL|STEM
01|010599|Agricultural and Domestic Animal Services, Other.|Any instructional program in agricultural and domestic animal services not listed above.|NULL|NULL|NULL|STEM
01|0106|Applied Horticulture and Horticultural Business Services.|Instructional content for this group of programs is defined in codes 01.0601 - 01.0699.|NULL|NULL|NULL|STEM
01|010601|Applied Horticulture/Horticulture Operations, General.|A program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; |NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010603|Ornamental Horticulture.|A program that focuses on  domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes.  Includes instructi|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010604|Greenhouse Operations and Management.|A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation|NULL|NULL|NULL|STEM
01|010605|Landscaping and Groundskeeping.|A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and|04.0601 - Landscape Architecture.|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010606|Plant Nursery Operations and Management.|A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable |NULL|NULL|NULL|STEM
01|010607|Turf and Turfgrass Management.|A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplan|NULL|NULL|NULL|STEM
01|010608|Floriculture/Floristry Operations and Management.|A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, an|NULL|NULL|NULL|STEM
01|010699|Applied Horticulture/Horticultural Business Services, Other.|Any instructional program in horticultural service operations not listed above.|NULL|NULL|NULL|STEM
01|0107|International Agriculture.|Instructional content is defined in code 01.0701.|NULL|NULL|NULL|STEM
01|010701|International Agriculture.|A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries.  Includes instruction in agricultur|45.0604 - Development Economics and International Development.|NULL|NULL|STEM
01|0108|Agricultural Public Services.|Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.|NULL|NULL|NULL|STEM
01|010801|Agricultural and Extension Education Services.|A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultura|13.1301 - Agricultural Teacher Education., 45.1401 - Rural Sociology.|NULL|NULL|STEM
01|010802|Agricultural Communication/Journalism.|A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and com|NULL|NULL|NULL|STEM
01|010899|Agricultural Public Services, Other.|Any instructional program in general agricultural sciences and related services not listed above.|NULL|NULL|NULL|STEM
01|0109|Animal Sciences.|Instructional content for this group of programs is defined in codes 01.0901 - 01.0999.|NULL|NULL|NULL|STEM
01|010901|Animal Sciences, General.|A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products.  Includes instruction in the animal sciences, a|26.0701 - Zoology/Animal Biology.|NULL|NULL|STEM
01|010902|Agricultural Animal Breeding.|A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction i|26.0804 - Animal Genetics.|NULL|NULL|STEM
01|010903|Animal Health.|A program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations.  Includes instruction in environmental science, pharmacology, animal population studies, |NULL|NULL|NULL|STEM
01|010904|Animal Nutrition.|A program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products.  Includes instruction in nutrition science, animal health|NULL|NULL|NULL|STEM
01|010905|Dairy Science.|A program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products.  Includes instruction in animal sciences, nutrition sciences, food science|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010906|Livestock Management.|A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutr|NULL|NULL|NULL|STEM
01|010907|Poultry Science.|A program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products.  Includes instruction in avian sciences, nutrition sciences, food scie|NULL|NULL|NULL|STEM
01|010999|Animal Sciences, Other.|Any instructional program in the animal sciences not listed above.|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|0110|Food Science and Technology.|Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.|NULL|NULL|NULL|STEM
01|011001|Food Science.|A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruc|12.0509 - Culinary Science/Culinology., 19.0501 - Foods, Nutrition, and Wellness Studies, General.|NULL|NULL|STEM
01|011002|Food Technology and Processing.|A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in|NULL|NULL|NULL|STEM
01|011099|Food Science and Technology, Other.|Any instructional program in food sciences and technology not listed above.|NULL|NULL|NULL|STEM
01|0111|Plant Sciences.|Instructional content for this group of programs is defined in codes 01.1101 - 01.1199.|NULL|NULL|NULL|STEM
01|011101|Plant Sciences, General.|A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant|26.0301 - Botany/Plant Biology., 26.0305 - Plant Pathology/Phytopathology., 26.0307 - Plant Physiology., 26.0308 - Plant Molecular Biology.|NULL|NULL|STEM
01|011102|Agronomy and Crop Science.|A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific manage|NULL|NULL|NULL|STEM
01|011103|Horticultural Science.|A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; bree|NULL|NULL|NULL|STEM
01|011104|Agricultural and Horticultural Plant Breeding.|A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction i|26.0805 - Plant Genetics.|NULL|NULL|STEM
01|011105|Plant Protection and Integrated Pest Management.|A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic los|26.0702 - Entomology.|NULL|NULL|STEM
01|011106|Range Science and Management.|A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in lives|NULL|NULL|NULL|STEM
01|011199|Plant Sciences, Other.|Any instructional program in plant sciences not listed above.|NULL|NULL|NULL|STEM
01|0112|Soil Sciences.|Instructional content for this group of programs is defined in codes 01.1201 - 01.1299.|NULL|NULL|NULL|STEM
01|011201|Soil Science and Agronomy, General.|A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydr|NULL|NULL|NULL|STEM
01|011202|Soil Chemistry and Physics.|A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralog|NULL|NULL|NULL|STEM
01|011203|Soil Microbiology.|A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes ins|NULL|NULL|NULL|STEM
01|011299|Soil Sciences, Other.|Any instructional program in the soil sciences not listed above.|NULL|NULL|NULL|STEM
01|0199|Agriculture, Agriculture Operations, and Related Sciences, Other.|Instructional content is defined in code 01.9999.|NULL|NULL|NULL|STEM
01|019999|Agriculture, Agriculture Operations, and Related Sciences, Other.|Any instructional program in agriculture, agricultural operations, and related sciences not listed above.|NULL|NULL|NULL|STEM
03|03|NATURAL RESOURCES AND CONSERVATION.|Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.|NULL|NULL|NULL|Services
03|0301|Natural Resources Conservation and Research.|Instructional content for this group of programs is defined in codes 03.0101 - 03.0199.|NULL|NULL|NULL|Services
03|030101|Natural Resources/Conservation, General.|A general program that focuses on the studies and activities relating to the natural environment and its conservation, use, and improvement.  Includes instruction in subjects such as climate, air, soil, water, land, fish and wildlife, and plant resources;|26.1307 - Conservation Biology.|NULL|NULL|Services
03|030103|Environmental Studies.|A program that focuses on  environment-related issues using scientific, social scientific, or humanistic approaches or a combination.  Includes instruction in the basic principles of ecology and environmental science and related subjects such as policy, p|14.1401 - Environmental/Environmental Health Engineering.|NULL|NULL|Services
03|030104|Environmental Science.|A program that focuses on the application of biological, chemical, and physical principles to the study of the physical environment and the solution of environmental problems, including subjects such as abating or controlling environmental pollution and d|14.1401 - Environmental/Environmental Health Engineering., 26.1305 - Environmental Biology., 26.1307 - Conservation Biology.|NULL|NULL|Services
03|030199|Natural Resources Conservation and Research, Other.|Any instructional program in natural resources conservation and research not listed above.|NULL|NULL|NULL|Services
03|0302|Natural Resources Management and Policy.|Instructional content for this group of programs is defined in codes 03.0201 - 03.0299.|NULL|NULL|NULL|Services
03|030201|Natural Resources Management and Policy.|A program that prepares individuals to plan, develop, manage, and evaluate programs to protect and regulate natural habitats and renewable natural resources.  Includes instruction in the principles of wildlife and conservation biology, environmental scien|NULL|NULL|NULL|Services
03|030204|Natural Resource Economics.|A program that focuses on the application of economic concepts and methods to the analysis of issues such as air and water pollution, land use planning, waste disposal, invasive species and pest control, conservation policies, and related environmental pr|01.0103 - Agricultural Economics.|NULL|NULL|Services
03|030205|Water, Wetlands, and Marine Resources Management.|A program that prepares individuals to apply the principles of marine/aquatic biology, oceanography, natural resource economics, and natural resources management to the development, conservation, and management of freshwater and saltwater environments.  I|14.0805 - Water Resources Engineering., 26.1304 - Aquatic Biology/Limnology., 40.0605 - Hydrology and Water Resources Science.|NULL|NULL|Services
03|030206|Land Use Planning and Management/Development.|A program that focuses on how public and/or private land and associated resources can be preserved, developed, and used for maximum social, economic, and environmental benefit.  Includes instruction in natural resources management, natural resource econom|04.0601 - Landscape Architecture., 31.0301 - Parks, Recreation and Leisure Facilities Management, General.|NULL|NULL|Services
03|030207|Natural Resource Recreation and Tourism.|A program that prepares individuals to plan, develop, and manage tourism in a natural resource setting, with an emphasis on applying environmentally sound, culturally sensitive, and economically sustainable principles. Includes instruction in environmenta|31.0301 - Parks, Recreation and Leisure Facilities Management, General.|NULL|NULL|Services
03|030208|Natural Resources Law Enforcement and Protective Services.|A program that prepares individuals to enforce natural resource and environmental protection regulations and laws; and to perform emergency duties to protect human life, property and natural resources, including fire prevention and control measures, and e|NULL|NULL|NULL|Services
03|030299|Natural Resources Management and Policy, Other.|Any instructional program in natural resources management and policy not listed above.|NULL|NULL|NULL|Services
03|0303|Fishing and Fisheries Sciences and Management.|Instructional content is defined in code 03.0301.|NULL|NULL|NULL|Services
03|030301|Fishing and Fisheries Sciences and Management.|A program that focuses on the scientific study of the husbandry and production of non-domesticated fish and shellfish populations for recreational and commercial purposes and the management of fishing and marine/aquatic product processing to ensure adequa|26.1302 - Marine Biology and Biological Oceanography., 49.0303 - Commercial Fishing.|NULL|NULL|Services
03|0305|Forestry.|Instructional content for this group of programs is defined in codes 03.0501 - 03.0599.|NULL|NULL|NULL|Services
03|030501|Forestry, General.|A program that generally prepares individuals to manage and develop forest areas for economic, recreational, and ecological purposes.  Includes instruction in forest-related sciences, mapping, statistics, harvesting and production technology, natural reso|14.3401 - Forest Engineering.|NULL|NULL|Services
03|030502|Forest Sciences and Biology.|A program that focuses on the application of one or more forest-related sciences to the study of environmental factors affecting forests and the growth and management of forest resources.  Includes instruction in forest biology, forest hydrology, forest m|NULL|NULL|NULL|Services
03|030506|Forest Management/Forest Resources Management.|A program that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources.  Includes instruction in silviculture, forest mensuration, forest protection, inventorying, b|NULL|NULL|NULL|Services
03|030508|Urban Forestry.|A program that prepares individuals to apply the principles of forestry and related sciences to the development, care, and maintenance of individual trees and forested areas within or close to areas of dense human habitation.  Includes instruction in urba|NULL|NULL|NULL|Services
03|030509|Wood Science and Wood Products/Pulp and Paper Technology.|A program that focuses on the application of chemical, physical, and engineering principles to the analysis of the properties and behavior of wood and wood products and the development of processes for converting wood into paper and other products.  Inclu|14.4001 - Paper Science and Engineering.|NULL|NULL|Services
03|030510|Forest Resources Production and Management.|A program that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions.  Includes instruction in forest prod|NULL|NULL|NULL|Services
03|030511|Forest Technology/Technician.|A program that prepares individuals to assist foresters in the management and production of forest resources.  Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and r|NULL|NULL|NULL|Services
03|030599|Forestry, Other.|Any program in forestry not listed above.|NULL|NULL|NULL|Services
03|0306|Wildlife and Wildlands Science and Management.|Instructional content is defined in code 03.0601.|NULL|NULL|NULL|Services
03|030601|Wildlife, Fish and Wildlands Science and Management.|A program that prepares individuals to conserve and manage wilderness areas and the flora, marine and aquatic life therein, and manage wildlife reservations and zoological/aquarium facilities for recreational, commercial, and ecological purposes. Includes|26.0709 - Wildlife Biology.|NULL|NULL|Services
03|0399|Natural Resources and Conservation, Other.|Instructional content is defined in code 03.9999.|NULL|NULL|NULL|Services
03|039999|Natural Resources and Conservation, Other.|Any instructional program in natural resources and conservation not listed above.|NULL|NULL|NULL|Services
04|04|ARCHITECTURE AND RELATED SERVICES.|Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment.|NULL|NULL|NULL|Business
04|0402|Architecture.|Instructional content is defined in code 04.0201.|NULL|NULL|NULL|Business
04|040201|Architecture.|A program that prepares individuals for the independent professional practice of architecture and to conduct research in various aspects of the field.  Includes instruction in architectural design, history, and theory; building structures and environmenta|14.0401 - Architectural Engineering., 15.1303 - Architectural Drafting and Architectural CAD/CADD.|NULL|ARCHITECTURE AND RELATED PROGRAMS|Business
04|0403|City/Urban, Community and Regional Planning.|Instructional content is defined in code 04.0301.|NULL|NULL|NULL|Business
04|040301|City/Urban, Community and Regional Planning.|A program that prepares individuals to apply principles of planning, analysis, and architecture to the development and improvement of urban areas and surrounding regions, and to function as professional planners.  Includes instruction in principles of arc|45.1201 - Urban Studies/Affairs.|NULL|NULL|Business
04|0404|Environmental Design.|Instructional content is defined in code 04.0401.|NULL|NULL|NULL|Business
04|040401|Environmental Design/Architecture.|A program that prepares individuals to design public and private spaces, indoor and outdoor, for leisure, recreational, commercial, and living purposes, and for professional practice as environmental designers and architects.  Includes instruction in the |19.0601 - Housing and Human Environments, General.|NULL|NULL|Business
04|0405|Interior Architecture.|Instructional content is defined in code 04.0501.|NULL|NULL|NULL|Business
04|040501|Interior Architecture.|A program that prepares individuals to apply architectural principles in the design of structural interiors for living, recreational, and business purposes and to function as professional interior architects.  Includes instruction in architecture, structu|50.0408 - Interior Design.|NULL|NULL|Business
04|0406|Landscape Architecture.|Instructional content is defined in code 04.0601.|NULL|NULL|NULL|Business
04|040601|Landscape Architecture.|A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field.  Includes instruction in geology and hydrology; soils, groundcovers, and horticultural elements; project |01.0605 - Landscaping and Groundskeeping., 03.0206 - Land Use Planning and Management/Development.|NULL|NULL|Business
04|0408|Architectural History and Criticism.|Instructional content is defined in code 04.0801.|NULL|NULL|NULL|Business
04|040801|Architectural History and Criticism, General.|A general program that focuses on the aesthetic, technical, and social development of the built environment and the architectural profession from earliest times to the present.  Includes instruction in the principles of architecture and related fields; ar|NULL|NULL|NULL|Business
04|0409|Architectural Sciences and Technology.|Instructional content for this group of programs is defined in codes 04.0901 - 04.0999.|NULL|NULL|NULL|Business
04|040901|Architectural Technology/Technician.|A program that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services.  Includes instruction in architectural drafting, computer-assisted drafting and design, construction me|15.1303 - Architectural Drafting and Architectural CAD/CADD.|NULL|NULL|Business
04|040902|Architectural and Building Sciences/Technology.|A program that  focuses on the application of advanced technology to building design and construction, retrofitting existing buildings, and efficient operation of buildings, including lighting and daylight design, acoustics, solar design, building conserv|NULL|NULL|NULL|Business
04|040999|Architectural Sciences and Technology, Other.|Any instructional program in architectural sciences and technology not listed above.|NULL|NULL|NULL|Business
04|0410|Real Estate Development.|Instructional content is defined in code 04.1001.|NULL|NULL|NULL|Business
04|041001|Real Estate Development.|A program that prepares individuals to create and redevelop housing, offices, retail centers, and industrial sites.  Includes instruction in architectural design and construction, historic preservation, landscape architecture, urban planning and design, b|52.1501 - Real Estate.|NULL|NULL|Business
04|0499|Architecture and Related Services, Other.|Instructional content is defined in code 04.9999.|NULL|NULL|NULL|Business
04|049999|Architecture and Related Services, Other.|Any instructional program in architecture and related programs not listed above.|NULL|NULL|NULL|Business
05|05|AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.|Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience.|NULL|NULL|NULL|Liberal Arts
05|0501|Area Studies.|Instructional content for this group of programs is defined in codes 05.0101 - 05.0199.|NULL|NULL|NULL|Liberal Arts
05|050101|African Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diasporas overseas.|05.0201 - African-American/Black Studies.|NULL|NULL|Liberal Arts
05|050102|American/United States Studies/Civilization.|A program that focuses on the history, society, politics, culture, and economics of the United States and its Pre-Columbian and colonial predecessors, and including the flow of immigrants from other societies.|NULL|NULL|NULL|Liberal Arts
05|050103|Asian Studies/Civilization.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Asian Continent, including the study of the Asian diasporas overseas.|05.0206 - Asian-American Studies.|NULL|NULL|Liberal Arts
05|050104|East Asian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of East Asia, defined as including China, Korea, Japan, Mongolia, Taiwan, Tibet, related borderlands and island groups, and including the study |NULL|NULL|NULL|Liberal Arts
05|050105|Russian, Central European, East European and Eurasian Studies.|A program that focuses on the history, society, politics, culture, and economics of the region encompassing Russia, Central Europe, Eastern Europe, and Eurasia, including the Balkan, Baltic, Caucasus, and Central Asian states that were republics of the fo|05.0110 - Russian Studies.|NULL|NULL|Liberal Arts
05|050106|European Studies/Civilization.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the European Continent, including the study of European migration patterns and colonial empires.|NULL|NULL|NULL|Liberal Arts
05|050107|Latin American Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the Hispanic peoples of the North and South American Continents outside Canada and the United States, including the study of the Pre-Columbian period and th|05.0203 - Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.|NULL|NULL|Liberal Arts
05|050108|Near and Middle Eastern Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of North Africa, Southwestern Asia, Asia Minor, and the Arabian Peninsula, related borderlands and island groups, and including emigrant and imm|30.2202 - Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology.|NULL|NULL|Liberal Arts
05|050109|Pacific Area/Pacific Rim Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Australasia and the Pacific Ocean, related island groups and bordering coastal regions, and including pre- and post-colonial migration patter|NULL|NULL|NULL|Liberal Arts
05|050110|Russian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Russian Federation and its Soviet, Czarist, and medieval predecessors and related borderlands.|05.0105 - Russian, Central European, East European and Eurasian Studies.|NULL|NULL|Liberal Arts
05|050111|Scandinavian Studies.|A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Scandinavia, defined as Northern Europe including Denmark, Finland, Iceland, Norway, Sweden, related island groups (including Greenland), and|NULL|NULL|NULL|Liberal Arts
