CIP_Short|CIP_Code|CIPTitle|Description|CrossReferences|Groups|Old_CIP_Code|Created_Date|Modified_Date|Inactive
01|010903|Animal Health.|A program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations.  Includes instruction in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010904|Animal Nutrition.|A program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products.  Includes instruction in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010905|Dairy Science.|A program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products.  Includes instruction in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010906|Livestock Management.|A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010907|Poultry Science.|A program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products.  Includes instruction in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010999|Animal Sciences, Other.|Any instructional program in the animal sciences not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0110|Food Science and Technology.|Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011001|Food Science.|A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology.|19.0501 - Foods, Nutrition, and Wellness Studies, General., 12.0509 - Culinary Science/Culinology.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011002|Food Technology and Processing.|A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011003|Brewing Science.|A program that focuses on the business, science, and technology of beer brewing operations. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, malting, marketing, microbiology, quality control, and sanitation.|52.0910 - Brewery/Brewpub Operations/Management.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|011004|Viticulture and Enology.|A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management.||NULL|010309|2020-04-23 11:36:01.890|NULL|N
01|011005|Zymology/Fermentation Science.|A program that focuses on the business, science, and technology of fermented food production. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, marketing, microbiology, quality control, and sanitation.|52.0910 - Brewery/Brewpub Operations/Management.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|011099|Food Science and Technology, Other.|Any instructional program in food sciences and technology not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0111|Plant Sciences.|Instructional content for this group of programs is defined in codes 01.1101 - 01.1199.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011101|Plant Sciences, General.|A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing.|26.0308 - Plant Molecular Biology., 26.0307 - Plant Physiology., 26.0301 - Botany/Plant Biology., 26.0305 - Plant Pathology/Phytopathology.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011102|Agronomy and Crop Science.|A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011103|Horticultural Science.|A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011104|Agricultural and Horticultural Plant Breeding.|A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology.|26.0805 - Plant Genetics.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011105|Plant Protection and Integrated Pest Management.|A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology.|26.0702 - Entomology.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011106|Range Science and Management.|A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011180|Reserved.|Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|011199|Plant Sciences, Other.|Any instructional program in plant sciences not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0112|Soil Sciences.|Instructional content for this group of programs is defined in codes 01.1201 - 01.1299.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011201|Soil Science and Agronomy, General.|A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011202|Soil Chemistry and Physics.|A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011203|Soil Microbiology.|A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|011299|Soil Sciences, Other.|Any instructional program in the soil sciences not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0113|Agriculture/Veterinary Preparatory Programs.|Instructional content for this group of programs is defined in codes 01.1302 - 01.1399.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|011302|Pre-Veterinary Studies.|A program that prepares individuals for admission to a professional program in veterinary medicine.||NULL|511104|2020-04-23 11:36:01.890|NULL|N
01|011399|Agriculture/Veterinary Preparatory Programs, Other.|Any instructional program that prepares individuals for admission to a professional program in agriculture or veterinary medicine or science not listed above.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|0180|Veterinary Medicine.|Instructional content is defined in code 01.8001.||NULL|5124|2020-04-23 11:36:01.890|NULL|N
01|018001|Veterinary Medicine.|A program that prepares individuals for the independent professional practice of veterinary medicine, involving the diagnosis, treatment, and health care management of animals and animal populations and the prevention and management of zoonosis.  Includes instruction in the veterinary basic sciences, infectious and noninfectious disease, diagnostic procedures, veterinary clinical medicine, obstetrics, radiology, anesthesiology, surgery, toxicology, animal health and preventive medicine, clinical nutrition, practice management, and professional standards and ethics.||NULL|512401|2020-04-23 11:36:01.890|NULL|N
01|0181|Veterinary Biomedical and Clinical Sciences.|Instructional content for this group of programs is defined in codes 01.8101 - 01.8199.||NULL|5125|2020-04-23 11:36:01.890|NULL|N
01|018101|Veterinary Sciences/Veterinary Clinical Sciences, General.|An integrated program of study in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title.||NULL|512501|2020-04-23 11:36:01.890|NULL|N
01|018102|Comparative and Laboratory Animal Medicine.|A program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals.  Includes instruction in laboratory animal husbandry, laboratory animal disease, biohazard control, gnotobiology, breeding, comparative anatomy and physiology, comparative gene mapping, protein function, physical and mathematical modeling, computer modeling, stem cell technology, colony and genetic stock management, cryopreservation, applicable regulations, and bioethics.||NULL|512509|2020-04-23 11:36:01.890|NULL|N
01|018103|Large Animal/Food Animal and Equine Surgery and Medicine.|A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of herd, work, sport, and food animals.  Includes instruction in equine medicine, swine and dairy medicine, food animal medicine, pathophysiology, large animal diseases, large animal anesthesiology and surgical procedures, preoperative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics.||NULL|512507|2020-04-23 11:36:01.890|NULL|N
01|018104|Small/Companion Animal Surgery and Medicine.|A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of companion and household animals.  Includes instruction in avian medicine, pet care, companion animal medicine, pathophysiology, small animal diseases, small animal anesthesiology and surgical procedures, preoperative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics.||NULL|512508|2020-04-23 11:36:01.890|NULL|N
01|018105|Veterinary Anatomy.|A program that focuses on the scientific study of the structure of small and large animal cellular, organ, tissue, and body systems and their relation to physiologic function, disease, and therapeutic treatment.  Includes instruction in histology, ultrastructure, molecular biology, biochemistry, developmental biology, neuroscience, electrophysiology, electron microscopy, computer imaging, and applications to specific species.||NULL|512502|2020-04-23 11:36:01.890|NULL|N
